,actual,predictions,difference,difference_percentage
74,0.10464744869440229,0.05579736828804016,0.04885008040636213,46.68062242875796
75,0.13718757486225341,0.04996880888938904,0.08721876597286438,63.5762867449465
76,0.11263275572945779,0.04894709959626198,0.06368565613319581,56.54274879517981
77,0.08275772578455641,0.04868324473500252,0.03407448104955389,41.17377649823311
78,0.07264633075141738,0.05167084187269211,0.020975488878725274,28.873431956941648
79,0.06601852591232132,0.05730324238538742,0.008715283526933904,13.201269502001
80,0.056825441188213685,0.059391897171735764,0.0025664559835220785,4.5163854954009475
81,0.06019923341052463,0.06358503550291061,0.003385802092385981,5.62432758785603
82,0.06192605605685539,0.06742582470178604,0.005499768644930653,8.8811866847797
83,0.062195560169288504,0.0668254941701889,0.0046299340009004,7.44415515882211
84,0.05384093268386169,0.06051911413669586,0.006678181452834171,12.403539686146434
