"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2018","99.59","99.50","99.50","99.50","0.00K","-0.07%"
"Jan 17, 2018","99.66","99.40","99.40","99.00","0.00K","-0.10%"
"Jan 16, 2018","99.76","100.00","100.25","99.75","0.03K","0.55%"
"Jan 15, 2018","99.21","97.50","99.00","97.40","0.01K","1.19%"
"Jan 12, 2018","98.04","98.04","98.04","98.04","-","0.11%"
"Jan 11, 2018","97.93","98.50","98.50","97.75","0.01K","-0.74%"
"Jan 10, 2018","98.66","99.15","99.15","98.70","0.01K","-0.83%"
"Jan 09, 2018","99.49","100.00","100.00","99.50","0.03K","0.46%"
"Jan 08, 2018","99.03","99.50","99.50","99.25","0.01K","1.26%"
"Jan 05, 2018","97.80","98.00","98.00","98.00","0.01K","0.12%"
"Jan 04, 2018","97.68","97.68","97.68","97.68","0.01K","1.61%"
"Jan 03, 2018","96.13","96.13","96.13","96.13","-","0.14%"
"Jan 02, 2018","96.00","96.00","96.00","96.00","0.01K","1.26%"
"Dec 29, 2017","94.81","94.81","94.81","94.81","-","0.51%"
"Dec 28, 2017","94.33","94.33","94.33","94.33","0.01K","0.31%"
"Dec 27, 2017","94.04","94.04","94.04","94.04","-","0.65%"
"Dec 26, 2017","93.43","93.43","93.43","93.43","-","0.00%"
"Dec 22, 2017","93.43","93.20","93.20","93.20","0.01K","-0.23%"
"Dec 21, 2017","93.65","93.85","93.85","93.85","0.01K","-0.69%"
"Dec 20, 2017","94.30","94.80","94.80","94.50","0.01K","-0.97%"
"Dec 19, 2017","95.22","95.22","95.22","95.22","0.01K","-0.23%"
"Dec 18, 2017","95.44","95.50","95.50","95.25","0.02K","0.74%"
"Dec 15, 2017","94.74","94.74","94.74","94.74","0.04K","-0.40%"
"Dec 14, 2017","95.12","95.50","95.50","95.00","0.04K","0.38%"
"Dec 13, 2017","94.76","96.00","96.20","95.85","0.03K","0.38%"
"Dec 12, 2017","94.40","95.00","95.05","94.25","0.03K","1.08%"
"Dec 11, 2017","93.39","92.85","92.85","92.75","0.03K","1.75%"
"Dec 08, 2017","91.78","91.78","91.78","91.78","0.02K","1.05%"
"Dec 07, 2017","90.83","90.83","90.83","90.83","0.01K","0.59%"
"Dec 06, 2017","90.30","90.00","90.00","90.00","0.03K","0.59%"
"Dec 05, 2017","89.77","89.75","89.75","89.75","0.00K","-1.13%"
"Dec 04, 2017","90.80","90.50","90.90","90.50","0.04K","0.89%"
"Dec 01, 2017","90.00","90.35","90.50","89.90","0.03K","0.36%"
"Nov 30, 2017","89.68","89.50","89.50","89.50","0.00K","-0.02%"
"Nov 29, 2017","89.70","89.25","89.25","89.25","0.01K","0.07%"
"Nov 28, 2017","89.64","90.00","90.35","89.75","0.02K","0.92%"
"Nov 27, 2017","88.82","88.45","89.00","88.45","0.03K","1.05%"
"Nov 24, 2017","87.90","87.30","88.30","87.30","0.03K","0.96%"
"Nov 23, 2017","87.06","87.00","87.00","87.00","0.04K","0.73%"
"Nov 22, 2017","86.43","87.00","87.00","86.25","0.00K","-0.23%"
"Nov 21, 2017","86.63","86.63","86.63","86.63","0.02K","-0.32%"
"Nov 20, 2017","86.91","87.35","87.35","87.35","0.02K","1.18%"
"Nov 17, 2017","85.90","85.90","85.90","85.90","0.01K","-0.74%"
"Nov 16, 2017","86.54","87.00","87.00","86.35","0.02K","-2.26%"
"Nov 15, 2017","88.54","88.25","88.50","87.50","0.01K","-0.33%"
"Nov 14, 2017","88.83","88.83","88.83","88.83","0.01K","-1.46%"
"Nov 13, 2017","90.15","90.15","90.15","90.15","0.01K","-0.36%"
"Nov 10, 2017","90.48","89.25","90.50","89.00","0.01K","0.59%"
"Nov 09, 2017","89.95","90.00","90.00","90.00","0.03K","-0.39%"
"Nov 08, 2017","90.30","90.25","90.50","90.00","0.04K","-0.41%"
