"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2017","22.75","22.75","22.75","22.75","-","0.44%"
"May 04, 2017","22.65","22.65","22.65","22.65","-","0.00%"
"May 03, 2017","22.65","22.65","22.65","22.65","-","0.00%"
"May 02, 2017","22.65","22.65","22.65","22.65","-","0.00%"
"May 01, 2017","22.65","22.65","22.65","22.65","-","-0.44%"
"Apr 28, 2017","22.75","22.75","22.75","22.75","-","0.00%"
"Apr 27, 2017","22.75","22.75","22.75","22.75","-","0.00%"
"Apr 26, 2017","22.75","22.75","22.75","22.75","-","0.00%"
"Apr 25, 2017","22.75","22.75","22.75","22.75","-","0.00%"
"Apr 24, 2017","22.75","22.75","22.75","22.75","-","-0.66%"
"Apr 21, 2017","22.90","22.90","22.90","22.90","-","-0.43%"
"Apr 20, 2017","23.00","23.00","23.00","23.00","-","0.00%"
"Apr 19, 2017","23.00","23.00","23.00","23.00","-","-1.08%"
"Apr 18, 2017","23.25","23.25","23.25","23.25","-","-1.06%"
"Apr 17, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 13, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 12, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 11, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 10, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 07, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 06, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 05, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 04, 2017","23.50","23.50","23.50","23.50","-","0.00%"
"Apr 03, 2017","23.50","23.50","23.50","23.50","-","1.08%"
"Mar 31, 2017","23.25","23.25","23.25","23.25","-","-3.73%"
"Mar 30, 2017","24.15","24.15","24.15","24.15","-","-1.02%"
"Mar 29, 2017","24.40","24.40","24.40","24.40","-","-0.41%"
"Mar 28, 2017","24.50","24.50","24.50","24.50","-","-0.61%"
"Mar 27, 2017","24.65","24.65","24.65","24.65","-","0.00%"
"Mar 24, 2017","24.65","24.65","24.65","24.65","-","-1.99%"
"Mar 23, 2017","25.15","25.15","25.15","25.15","-","-0.98%"
"Mar 22, 2017","25.40","25.40","25.40","25.40","-","0.00%"
"Mar 21, 2017","25.40","25.40","25.40","25.40","-","0.00%"
"Mar 20, 2017","25.40","25.40","25.40","25.40","-","0.00%"
"Mar 17, 2017","25.40","25.40","25.40","25.40","-","0.00%"
"Mar 16, 2017","25.40","25.40","25.40","25.40","-","0.59%"
"Mar 15, 2017","25.25","25.25","25.25","25.25","-","1.00%"
"Mar 14, 2017","25.00","25.00","25.00","25.00","-","2.04%"
"Mar 13, 2017","24.50","24.50","24.50","24.50","-","0.00%"
"Mar 10, 2017","24.50","24.50","24.50","24.50","-","-2.97%"
"Mar 09, 2017","25.25","25.25","25.25","25.25","-","-1.56%"
"Mar 08, 2017","25.65","25.65","25.65","25.65","-","-2.29%"
"Mar 07, 2017","26.25","26.25","26.25","26.25","-","1.94%"
"Mar 06, 2017","25.75","25.75","25.75","25.75","-","0.98%"
"Mar 03, 2017","25.50","25.50","25.50","25.50","-","3.45%"
"Mar 02, 2017","24.65","24.65","24.65","24.65","-","0.61%"
"Mar 01, 2017","24.50","24.50","24.50","24.50","-","6.52%"
"Feb 28, 2017","23.00","23.00","23.00","23.00","-","2.22%"
"Feb 27, 2017","22.50","22.50","22.50","22.50","-","-1.10%"
"Feb 24, 2017","22.75","22.75","22.75","22.75","-","-5.21%"
"Feb 23, 2017","24.00","24.00","24.00","24.00","-","-0.62%"
"Feb 22, 2017","24.15","24.15","24.15","24.15","-","-2.42%"
"Feb 21, 2017","24.75","24.75","24.75","24.75","-","-1.00%"
"Feb 17, 2017","25.00","25.00","25.00","25.00","-","0.00%"
"Feb 16, 2017","25.00","25.00","25.00","25.00","-","-3.47%"
"Feb 15, 2017","25.90","25.90","25.90","25.90","-","0.00%"
